,nome,cpf,idade,endereco,estado,pais
0,Samuel Vasconcelos,254.173.986-91,57,"Ladeira de Borges, 26
Etelvina Carneiro
56280779 Casa Grande de Brito / MS",Roraima,Brasil
1,Lívia Pastor,017.859.342-79,28,"Pátio Yan Martins, 25
Suzana
54406-438 Pinto / PB",Distrito Federal,Brasil
2,Daniel da Mota,524.819.376-19,30,"Fazenda Leão, 60
São Francisco
09125-888 da Rocha / ES",Piauí,Brasil
3,João Guilherme Melo,952.876.431-28,50,"Lago de Correia, 80
Barreiro
79309-268 da Conceição / AC",Mato Grosso,Brasil
4,Pedro Miguel Montenegro,013.857.264-07,26,"Viaduto de Silveira, 78
Penha
27367-379 Duarte / MA",Bahia,Brasil
5,Srta. Júlia Sampaio,063.214.798-96,58,"Chácara Cardoso
Serra Do Curral
20195485 Jesus do Galho / AM",Santa Catarina,Brasil
6,Maria Liz Souza,254.069.387-38,40,"Distrito Ana Laura Cassiano, 30
Jardim Vitoria
47333-796 Carvalho do Galho / PI",Amazonas,Brasil
7,Diego Costela,603.714.925-99,18,"Largo de Garcia, 78
Carmo
45095968 da Mota Verde / AP",Minas Gerais,Brasil
8,Dr. Rael Oliveira,496.071.825-02,42,"Trevo Pires, 9
Flavio Marques Lisboa
01586365 Almeida da Serra / PI",Roraima,Brasil
9,Lívia Pimenta,843.215.709-05,33,"Setor Ana Clara Rodrigues, 99
Vila Maloca
75227-760 Jesus / ES",Paraná,Brasil
